corpus 021821537f28 · engine 2026.09.01.platinum-group-rate-inverse · anchor 2026-08-26 · variant baseline
folds read: fit, select · confirm: SEALED, not read (2141527 rows withheld at the door)
rows 6634732: 346226 decomposed · 857954 not accepted · 0 in other folds · 3118950 other variants · 75920 unfilled · 442 data-absent · 93713 held out
holdout: stratified-per-class-20pct — 20 markets excluded from every class pool (pinned docs/research/r4/holdout-2026-08-26.json); stamped flag: 19 markets, provenance only

wins = take_profit + tp1_partial; stops = stop_loss; rest = expiries and ambiguous, held fixed when the break-even is solved. payoff = mean win / |mean stop|, realised. break-even = the win share at which expectancy is zero at that payoff and that rest.

=== FIT ===
| class | filled | net R | gross R | E (net) | mean win | mean stop | payoff | win share | break-even | rest share | rest mean | planned RR | ladder RR |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| agriculture | 2512 | -353.0 | -40.3 | -0.1405 | 0.458 | -1.073 | 0.427 | 52.7% | 61.9% | 14.6% | -0.217 | 1.60 | 0.86 |
| metals | expired_in_profit | 151 | 2.7% | 0.1093 | 0.1922 | 0.0000 |
| metals | ambiguous | 9 | 0.2% | -0.3981 | -0.1063 | 0.5465 |
| **pooled** | tp1_partial | 136391 | 63.6% | 0.3725 | 0.3764 | 0.1133 |
| **pooled** | stop_loss | 54430 | 25.4% | -1.0276 | -0.9246 | 0.0000 |
| **pooled** | expired_at_loss | 12516 | 5.8% | -0.3343 | -0.2826 | 0.0000 |
| **pooled** | take_profit | 6390 | 3.0% | 1.1578 | 1.0889 | 0.1963 |
| **pooled** | expired_in_profit | 3996 | 1.9% | 0.1297 | 0.1583 | 0.0000 |
| **pooled** | ambiguous | 615 | 0.3% | -0.7312 | -0.5767 | 0.2302 |

=== SELECT ===
| class | filled | net R | gross R | E (net) | mean win | mean stop | payoff | win share | break-even | rest share | rest mean | planned RR | ladder RR |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| agriculture | 1263 | -149.4 | -7.3 | -0.1183 | 0.489 | -0.993 | 0.493 | 51.5% | 59.5% | 14.4% | -0.224 | 1.54 | 0.83 |
| crypto | 43085 | -6550.0 | -1664.3 | -0.1520 | 0.384 | -1.070 | 0.359 | 61.1% | 71.5% | 3.8% | -0.280 | 1.96 | 1.07 |
| energies | 298 | -60.1 | -56.0 | -0.2017 | 0.659 | -1.184 | 0.557 | 41.9% | 52.9% | 22.5% | -0.253 | 1.46 | 1.00 |
| forex | 78932 | 1603.8 | 3493.6 | 0.0203 | 0.392 | -1.040 | 0.377 | 69.8% | 68.4% | 7.5% | -0.238 | 1.69 | 1.00 |
| futures | 5020 | -310.7 | -59.1 | -0.0619 | 0.494 | -0.935 | 0.529 | 55.4% | 59.8% | 11.8% | -0.251 | 1.94 | 1.12 |
| indices | 613 | -94.8 | -69.7 | -0.1546 | 0.376 | -1.094 | 0.343 | 55.1% | 65.7% | 14.8% | -0.226 | 2.01 | 1.11 |
| livestock | 170 | -0.5 | 10.2 | -0.0028 | 0.712 | -0.873 | 0.815 | 54.7% | 54.9% | 1.2% | -0.580 | 2.05 | 1.21 |
| metals | 2507 | -118.4 | 49.7 | -0.0472 | 0.423 | -1.002 | 0.422 | 61.3% | 64.7% | 10.7% | -0.244 | 1.68 | 0.95 |
| **pooled** | 131888 | -5680.1 | 1697.1 | -0.0431 | 0.395 | -1.047 | 0.377 | 65.9% | 68.9% | 6.7% | -0.246 | 1.79 | 1.03 |

| class | outcome | n | share | mean net R | mean gross R | mean forgone runner R |
| --- | --- | ---: | ---: | ---: | ---: | ---: |
| agriculture | tp1_partial | 543 | 43.0% | 0.3231 | 0.3377 | 0.2567 |
| agriculture | stop_loss | 430 | 34.0% | -0.9931 | -0.7318 | 0.0000 |
| agriculture | expired_at_loss | 136 | 10.8% | -0.2861 | -0.0816 | 0.0000 |
| agriculture | take_profit | 108 | 8.6% | 1.3236 | 1.1912 | 0.2458 |
| agriculture | expired_in_profit | 38 | 3.0% | 0.1796 | 0.2443 | 0.0000 |
| agriculture | ambiguous | 8 | 0.6% | -1.0875 | -0.3632 | 0.0000 |
| crypto | tp1_partial | 24184 | 56.1% | 0.3134 | 0.3263 | 0.1909 |
| crypto | stop_loss | 15126 | 35.1% | -1.0702 | -0.7652 | 0.0000 |
| crypto | take_profit | 2125 | 4.9% | 1.1869 | 1.0617 | 0.2000 |
| crypto | expired_at_loss | 1280 | 3.0% | -0.3591 | -0.2103 | 0.0000 |
| crypto | expired_in_profit | 320 | 0.7% | 0.1116 | 0.1835 | 0.0000 |
| crypto | ambiguous | 50 | 0.1% | -0.7706 | -0.5278 | 0.2375 |
| energies | tp1_partial | 115 | 38.6% | 0.6171 | 0.6216 | 0.0931 |
| energies | stop_loss | 106 | 35.6% | -1.1841 | -1.1647 | 0.0000 |
| energies | expired_at_loss | 45 | 15.1% | -0.4585 | -0.3999 | 0.0000 |
| energies | expired_in_profit | 21 | 7.0% | 0.2305 | 0.2539 | 0.0000 |
| energies | take_profit | 10 | 3.4% | 1.1410 | 0.9862 | 0.0971 |
| energies | ambiguous | 1 | 0.3% | -1.1908 | -1.1908 | 0.0000 |
| forex | tp1_partial | 53151 | 67.3% | 0.3660 | 0.3689 | 0.0973 |
| forex | stop_loss | 17873 | 22.6% | -1.0396 | -0.9500 | 0.0000 |
| forex | expired_at_loss | 4309 | 5.5% | -0.3304 | -0.2858 | 0.0000 |
| forex | take_profit | 1962 | 2.5% | 1.0917 | 1.0205 | 0.1865 |
| forex | expired_in_profit | 1431 | 1.8% | 0.1286 | 0.1555 | 0.0000 |
| forex | ambiguous | 206 | 0.3% | -0.8382 | -0.6166 | 0.1398 |
| futures | tp1_partial | 2543 | 50.7% | 0.4022 | 0.4094 | 0.1915 |
| futures | stop_loss | 1645 | 32.8% | -0.9347 | -0.8156 | 0.0000 |
