ADMISSION AT maxCostShare 0.15 — emitted vs corrected (the crosses' exact commission, per decision)
  folds read: fit, select · confirm: SEALED, not read (2,141,527 rows withheld at the door) · variant baseline · cap 0.15 (the forex class row unless --cap) · years by year map: witness table docs/research/r3/feed-character.txt (5min tier)
  pairs from the currency table (forex crosses, 21): AUDCAD, AUDCHF, AUDJPY, AUDNZD, CADCHF, CADJPY, CHFJPY, EURAUD, EURCAD, EURCHF, EURGBP, EURJPY, EURNZD, GBPAUD, GBPCAD, GBPCHF, GBPJPY, GBPNZD, NZDCAD, NZDCHF, NZDJPY · cross commission = 5e-5 / USD-per-quote at the leg's previous completed daily close, per decision (legs: AUDUSD, EURUSD, GBPUSD, NZDUSD, USDCAD, USDCHF, USDJPY) · unrated (no completed leg close at the decision) 0
rows 6,634,732 (2,141,527 sealed) · not accepted 857,954 · other fold 0 · other variant 3,118,950 · not forex 142,791 · other pair 94,330 · missing fields 0
rows in scope 279,180: charged price × 5e-5 on 279,180, the exact figure on 0, neither on 0

| key | rows | filled | over cap now | over cap corrected | newly DECLINED (filled: n, R emitted → corrected) | newly ADMITTED (filled: n, R emitted → corrected) | kept (filled n, R emitted → corrected) | mean share now → corrected |
|---|---:|---:|---:|---:|---|---|---|---|
| EURNZD|all | 13,498 | 11,665 | 211 | 105 | 0 (0, +0.0 → +0.0) | 106 (91, -1.0 → -0.0) | (11,484, +400.0 → +456.9) | 0.0688 → 0.0638 |
| EURNZD|contained | 12,134 | 10,497 | 211 | 105 | 0 (0, +0.0 → +0.0) | 106 (91, -1.0 → -0.0) | (10,316, +158.8 → +211.4) | 0.0699 → 0.0647 |
| EURNZD|escaping | 1,364 | 1,168 | 0 | 0 | 0 (0, +0.0 → +0.0) | 0 (0, +0.0 → +0.0) | (1,168, +241.3 → +245.5) | 0.0593 → 0.0557 |
| GBPAUD|all | 13,527 | 11,697 | 137 | 13 | 0 (0, +0.0 → +0.0) | 124 (118, -5.5 → -2.6) | (11,567, -6.0 → +98.8) | 0.0700 → 0.0608 |
| GBPAUD|contained | 12,177 | 10,544 | 130 | 13 | 0 (0, +0.0 → +0.0) | 117 (111, -6.3 → -3.6) | (10,421, -49.3 → +45.5) | 0.0693 → 0.0601 |
| GBPAUD|escaping | 1,350 | 1,153 | 7 | 0 | 0 (0, +0.0 → +0.0) | 7 (7, +0.8 → +1.0) | (1,146, +43.3 → +53.3) | 0.0757 → 0.0670 |
| GBPCAD|all | 13,113 | 11,283 | 309 | 62 | 0 (0, +0.0 → +0.0) | 247 (219, -4.4 → +1.1) | (11,012, +189.4 → +299.7) | 0.0782 → 0.0679 |
| GBPCAD|contained | 11,747 | 10,106 | 296 | 62 | 0 (0, +0.0 → +0.0) | 234 (207, -5.8 → -0.5) | (9,847, +78.8 → +178.8) | 0.0783 → 0.0678 |
| GBPCAD|escaping | 1,366 | 1,177 | 13 | 0 | 0 (0, +0.0 → +0.0) | 13 (12, +1.4 → +1.6) | (1,165, +110.6 → +120.9) | 0.0775 → 0.0687 |
| GBPCHF|all | 13,108 | 11,332 | 471 | 140 | 0 (0, +0.0 → +0.0) | 331 (298, -19.7 → -12.4) | (10,909, +210.4 → +317.5) | 0.0789 → 0.0686 |
| GBPCHF|contained | 11,813 | 10,211 | 453 | 140 | 0 (0, +0.0 → +0.0) | 313 (281, -21.2 → -14.3) | (9,805, +76.7 → +173.5) | 0.0788 → 0.0684 |
| GBPCHF|escaping | 1,295 | 1,121 | 18 | 0 | 0 (0, +0.0 → +0.0) | 18 (17, +1.5 → +1.8) | (1,104, +133.7 → +144.0) | 0.0802 → 0.0709 |
| GBPJPY|all | 13,317 | 11,557 | 188 | 59 | 0 (0, +0.0 → +0.0) | 129 (114, -0.6 → +2.3) | (11,388, +212.6 → +311.1) | 0.0678 → 0.0589 |
| GBPJPY|contained | 12,056 | 10,461 | 168 | 58 | 0 (0, +0.0 → +0.0) | 110 (98, -5.0 → -2.5) | (10,309, +113.3 → +201.7) | 0.0664 → 0.0576 |
| GBPJPY|escaping | 1,261 | 1,096 | 20 | 1 | 0 (0, +0.0 → +0.0) | 19 (16, +4.4 → +4.7) | (1,079, +99.4 → +109.4) | 0.0809 → 0.0715 |
| GBPNZD|all | 13,491 | 11,769 | 57 | 3 | 0 (0, +0.0 → +0.0) | 54 (46, +1.5 → +2.6) | (11,720, +408.5 → +506.7) | 0.0649 → 0.0565 |
| GBPNZD|contained | 12,108 | 10,557 | 57 | 3 | 0 (0, +0.0 → +0.0) | 54 (46, +1.5 → +2.6) | (10,508, +226.2 → +314.8) | 0.0645 → 0.0560 |
| GBPNZD|escaping | 1,383 | 1,212 | 0 | 0 | 0 (0, +0.0 → +0.0) | 0 (0, +0.0 → +0.0) | (1,212, +182.4 → +192.0) | 0.0686 → 0.0608 |
| NZDCAD|all | 13,167 | 11,403 | 112 | 536 | 424 (366, +1.7 → -8.0) | 0 (0, +0.0 → +0.0) | (10,934, +440.6 → +322.9) | 0.0702 → 0.0816 |
| NZDCAD|contained | 11,858 | 10,286 | 112 | 534 | 422 (364, +3.8 → -5.9) | 0 (0, +0.0 → +0.0) | (9,819, +192.5 → +87.2) | 0.0713 → 0.0828 |
| NZDCAD|escaping | 1,309 | 1,117 | 0 | 2 | 2 (2, -2.1 → -2.2) | 0 (0, +0.0 → +0.0) | (1,115, +248.1 → +235.7) | 0.0599 → 0.0712 |
| NZDCHF|all | 12,808 | 11,109 | 57 | 279 | 222 (197, -11.3 → -16.4) | 0 (0, +0.0 → +0.0) | (10,866, +430.9 → +326.0) | 0.0615 → 0.0714 |
| NZDCHF|contained | 11,663 | 10,141 | 57 | 279 | 222 (197, -11.3 → -16.4) | 0 (0, +0.0 → +0.0) | (9,898, +144.6 → +47.0) | 0.0635 → 0.0737 |
| NZDCHF|escaping | 1,145 | 968 | 0 | 0 | 0 (0, +0.0 → +0.0) | 0 (0, +0.0 → +0.0) | (968, +286.3 → +279.0) | 0.0412 → 0.0487 |
| NZDJPY|all | 13,376 | 11,586 | 31 | 155 | 124 (105, +2.1 → -0.4) | 0 (0, +0.0 → +0.0) | (11,457, +257.6 → +152.5) | 0.0579 → 0.0672 |
| NZDJPY|contained | 12,055 | 10,453 | 31 | 155 | 124 (105, +2.1 → -0.4) | 0 (0, +0.0 → +0.0) | (10,324, +140.8 → +47.1) | 0.0582 → 0.0675 |
| NZDJPY|escaping | 1,321 | 1,133 | 0 | 0 | 0 (0, +0.0 → +0.0) | 0 (0, +0.0 → +0.0) | (1,133, +116.8 → +105.5) | 0.0550 → 0.0650 |
| all pairs|all | 279,180 | 241,419 | 11,794 | 12,047 | 2,789 (2435, -103.5 → -158.4) | 2,536 (2261, -60.8 → -22.8) | (228,546, +5386.5 → +5546.2) | 0.0760 → 0.0752 |
| all pairs|contained | 251,517 | 217,628 | 11,562 | 11,946 | 2,785 (2431, -100.6 → -155.5) | 2,401 (2139, -82.4 → -46.1) | (204,969, +1772.6 → +1931.0) | 0.0769 → 0.0760 |
| all pairs|escaping | 27,663 | 23,791 | 232 | 101 | 4 (4, -2.8 → -2.9) | 135 (122, +21.6 → +23.3) | (23,577, +3613.9 → +3615.2) | 0.0679 → 0.0678 |
