ADMISSION AT maxCostShare 0.15 — emitted vs corrected (the crosses' exact commission, per decision)
  folds read: fit, select · confirm: SEALED, not read (2,141,527 rows withheld at the door) · variant baseline · cap 0.15 (the forex class row unless --cap) · years by year map: witness table docs/research/r3/feed-character.txt (5min tier)
  pairs from the currency table (forex crosses, 21): AUDCAD, AUDCHF, AUDJPY, AUDNZD, CADCHF, CADJPY, CHFJPY, EURAUD, EURCAD, EURCHF, EURGBP, EURJPY, EURNZD, GBPAUD, GBPCAD, GBPCHF, GBPJPY, GBPNZD, NZDCAD, NZDCHF, NZDJPY · cross commission = 5e-5 / USD-per-quote at the leg's previous completed daily close, per decision (legs: AUDUSD, EURUSD, GBPUSD, NZDUSD, USDCAD, USDCHF, USDJPY) · unrated (no completed leg close at the decision) 0
rows 6,634,732 (2,141,527 sealed) · not accepted 857,954 · other fold 0 · other variant 3,118,950 · not forex 142,791 · other pair 94,330 · missing fields 0
rows in scope 279,180: charged price × 5e-5 on 279,180, the exact figure on 0, neither on 0

| key | rows | filled | over cap now | over cap corrected | newly DECLINED (filled: n, R emitted → corrected) | newly ADMITTED (filled: n, R emitted → corrected) | kept (filled n, R emitted → corrected) | mean share now → corrected |
|---|---:|---:|---:|---:|---|---|---|---|
| EURCAD|escaping | 1,332 | 1,135 | 12 | 3 | 0 (0, +0.0 → +0.0) | 9 (9, +3.0 → +3.1) | (1,123, +202.3 → +207.6) | 0.0792 → 0.0745 |
| EURCHF|all | 12,383 | 10,742 | 4,902 | 4,343 | 0 (0, +0.0 → +0.0) | 559 (487, -14.8 → -8.5) | (6,425, +112.9 → +152.6) | 0.1494 → 0.1378 |
| EURCHF|contained | 11,519 | 9,983 | 4,845 | 4,309 | 0 (0, +0.0 → +0.0) | 536 (465, -21.0 → -14.8) | (5,719, -32.5 → +3.9) | 0.1534 → 0.1413 |
| EURCHF|escaping | 864 | 759 | 57 | 34 | 0 (0, +0.0 → +0.0) | 23 (22, +6.1 → +6.3) | (706, +145.3 → +148.8) | 0.0959 → 0.0907 |
| EURGBP|all | 12,935 | 11,143 | 991 | 566 | 0 (0, +0.0 → +0.0) | 425 (383, -13.8 → -8.2) | (10,245, +94.9 → +158.9) | 0.0897 → 0.0828 |
| EURGBP|contained | 11,729 | 10,114 | 927 | 522 | 0 (0, +0.0 → +0.0) | 405 (366, -15.0 → -9.6) | (9,272, -0.9 → +58.0) | 0.0898 → 0.0828 |
| EURGBP|escaping | 1,206 | 1,029 | 64 | 44 | 0 (0, +0.0 → +0.0) | 20 (17, +1.2 → +1.4) | (973, +95.7 → +100.9) | 0.0884 → 0.0829 |
| EURJPY|all | 13,591 | 11,633 | 494 | 334 | 0 (0, +0.0 → +0.0) | 160 (142, -4.5 → -2.7) | (11,203, -61.7 → -4.9) | 0.0750 → 0.0696 |
| EURJPY|contained | 12,436 | 10,639 | 457 | 321 | 0 (0, +0.0 → +0.0) | 136 (121, -7.4 → -5.8) | (10,242, -137.1 → -85.7) | 0.0736 → 0.0683 |
| EURJPY|escaping | 1,155 | 994 | 37 | 13 | 0 (0, +0.0 → +0.0) | 24 (21, +2.8 → +3.1) | (961, +75.4 → +80.8) | 0.0893 → 0.0836 |
