corpus 021821537f28 · engine 2026.09.01.platinum-group-rate-inverse · anchor 2026-08-26
folds read: fit 2009-09-25..2025-03-14 · select 2018-03-11..2025-12-04 · confirm: SEALED, not read
rows: 6634732 total · 3635251 accepted in the folds read · 1418391 not accepted (skipped) · 1581090 in other folds (not read) · 966862 on held-out markets (per-market lines only)
thin floor: 30 filled

## Per class × variant — held-out markets excluded, folds pooled

| class | variant | n | filled | dataAbsent | tp1 hit | stop | net E | ±SE clustered (k) | gross E | net total R | gross total R | flag |
| --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | --- |
| indices | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | select | 449 | 399 | 46.9% | -0.237 | ±0.036 | -0.181 | -94.5 |
| indices | runnerProtection=breakeven,stopStructureSource=intraday | fit | 232 | 195 | 44.6% | -0.047 | ±0.040 | -0.033 | -9.1 |
| indices | runnerProtection=breakeven,stopStructureSource=intraday | select | 449 | 399 | 46.9% | -0.235 | ±0.036 | -0.179 | -93.9 |
| indices | runnerProtection=hold,stopStructureSource=intraday_and_daily | fit | 235 | 198 | 46.0% | -0.058 | ±0.042 | -0.044 | -11.4 |
| indices | runnerProtection=hold,stopStructureSource=intraday_and_daily | select | 449 | 399 | 46.9% | -0.254 | ±0.038 | -0.188 | -101.3 |
| indices | runnerProtection=hold,stopStructureSource=intraday | fit | 232 | 195 | 44.6% | -0.049 | ±0.041 | -0.035 | -9.6 |
| indices | runnerProtection=hold,stopStructureSource=intraday | select | 449 | 399 | 46.9% | -0.252 | ±0.038 | -0.188 | -100.7 |
| indices | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | fit | 235 | 198 | 46.0% | -0.047 | ±0.041 | -0.037 | -9.3 |
| indices | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | select | 449 | 399 | 46.9% | -0.206 | ±0.036 | -0.142 | -82.2 |
| indices | runnerProtection=trail_tp1,stopStructureSource=intraday | fit | 232 | 195 | 44.6% | -0.038 | ±0.040 | -0.025 | -7.4 |
| indices | runnerProtection=trail_tp1,stopStructureSource=intraday | select | 449 | 399 | 46.9% | -0.204 | ±0.036 | -0.140 | -81.3 |
| livestock | baseline | fit | 691 | 517 | 58.8% | -0.136 | ±0.080 | -0.053 | -70.2 |
| livestock | baseline | select | 353 | 255 | 56.5% | -0.345 | ±0.364 | -0.079 | -87.9 |
| livestock | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | fit | 691 | 517 | 58.8% | -0.136 | ±0.080 | -0.053 | -70.2 |
| livestock | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | select | 353 | 255 | 56.5% | -0.345 | ±0.364 | -0.079 | -87.9 |
| livestock | runnerProtection=breakeven,stopStructureSource=intraday | fit | 691 | 517 | 58.8% | -0.136 | ±0.080 | -0.053 | -70.2 |
| livestock | runnerProtection=breakeven,stopStructureSource=intraday | select | 353 | 255 | 56.5% | -0.345 | ±0.364 | -0.079 | -87.9 |
| livestock | runnerProtection=hold,stopStructureSource=intraday_and_daily | fit | 691 | 517 | 59.2% | -0.181 | ±0.088 | -0.073 | -93.5 |
| livestock | runnerProtection=hold,stopStructureSource=intraday_and_daily | select | 353 | 255 | 56.5% | -0.459 | ±0.414 | -0.198 | -117.2 |
| livestock | runnerProtection=hold,stopStructureSource=intraday | fit | 691 | 517 | 59.2% | -0.181 | ±0.088 | -0.073 | -93.5 |
| livestock | runnerProtection=hold,stopStructureSource=intraday | select | 353 | 255 | 56.5% | -0.459 | ±0.414 | -0.198 | -117.2 |
| livestock | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | fit | 691 | 517 | 59.0% | -0.131 | ±0.079 | -0.005 | -67.8 |
| livestock | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | select | 353 | 255 | 56.1% | -0.358 | ±0.363 | 0.086 | -91.2 |
| livestock | runnerProtection=trail_tp1,stopStructureSource=intraday | fit | 691 | 517 | 59.0% | -0.131 | ±0.079 | -0.005 | -67.8 |
| livestock | runnerProtection=trail_tp1,stopStructureSource=intraday | select | 353 | 255 | 56.1% | -0.358 | ±0.363 | 0.086 | -91.2 |
| metals | baseline | fit | 6963 | 5497 | 58.3% | -0.091 | ±0.009 | -0.007 | -502.8 |
| metals | baseline | select | 3157 | 2507 | 61.3% | -0.047 | ±0.013 | 0.029 | -118.4 |
| metals | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | fit | 7133 | 5607 | 58.8% | -0.114 | ±0.009 | -0.027 | -637.4 |
| metals | runnerProtection=breakeven,stopStructureSource=intraday_and_daily | select | 3247 | 2562 | 62.5% | -0.062 | ±0.014 | 0.015 | -157.6 |
| metals | runnerProtection=breakeven,stopStructureSource=intraday | fit | 6963 | 5497 | 58.2% | -0.109 | ±0.009 | -0.027 | -599.0 |
| metals | runnerProtection=breakeven,stopStructureSource=intraday | select | 3157 | 2507 | 61.3% | -0.058 | ±0.014 | 0.013 | -146.1 |
| metals | runnerProtection=hold,stopStructureSource=intraday_and_daily | fit | 7133 | 5607 | 58.8% | -0.122 | ±0.010 | -0.035 | -685.8 |
| metals | runnerProtection=hold,stopStructureSource=intraday_and_daily | select | 3247 | 2562 | 62.5% | -0.062 | ±0.015 | 0.012 | -160.1 |
| metals | runnerProtection=hold,stopStructureSource=intraday | fit | 6963 | 5497 | 58.2% | -0.121 | ±0.010 | -0.039 | -666.2 |
| metals | runnerProtection=hold,stopStructureSource=intraday | select | 3157 | 2507 | 61.3% | -0.056 | ±0.015 | 0.016 | -141.5 |
| metals | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | fit | 7133 | 5607 | 58.9% | -0.095 | ±0.009 | -0.008 | -531.0 |
| metals | runnerProtection=trail_tp1,stopStructureSource=intraday_and_daily | select | 3247 | 2562 | 62.5% | -0.047 | ±0.013 | 0.031 | -120.2 |
| metals | runnerProtection=trail_tp1,stopStructureSource=intraday | fit | 6963 | 5497 | 58.3% | -0.091 | ±0.009 | -0.007 | -502.8 |
| metals | runnerProtection=trail_tp1,stopStructureSource=intraday | select | 3157 | 2507 | 61.3% | -0.047 | ±0.013 | 0.029 | -118.4 |

## Frequency beside money — baseline, folds pooled, held-out excluded

