npm notice run levelflow-cloud@0.1.0 npx
npm notice run 'tsx' scripts/grid-totalr.ts sweeps/4c/shard-0.jsonl sweeps/4c/shard-1.jsonl sweeps/4c/shard-2.jsonl sweeps/4c/shard-3.jsonl sweeps/4c/shard-4.jsonl sweeps/4c/shard-5.jsonl sweeps/4c/shard-6.jsonl sweeps/4c/shard-7.jsonl --baseline confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1,sizingHoursFactor=1 --permutations 1000 --seed 7
folds: fit=fit select=select (legacy two-split corpus) · holdout 3 markets excluded
corpus 3c47e2036e1b · engine 2026.08.11.engine-v2 · anchor 2026-08-11

=== CRYPTO ===
variant                         ΔR fit   ΔR sel  pairedP   ΔE sel   comp  expry  worstDay  verdict
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=1   10814.6   4838.5    0.001    0.150    0.0   0.02     -15.4  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=3   10920.3   5113.3    0.001    0.154    0.0   0.02     -15.4  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=1   13787.0   6061.7    0.001    0.196    0.0   0.04      -7.7  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=3   15186.9   6856.6    0.001    0.208    0.0   0.05      -4.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=1    1314.5    971.4    0.001    0.029    0.0   0.00     -32.2  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=3    1315.1    979.9    0.001    0.030    0.0   0.00     -32.2  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1.6,sizingHoursFactor=1    6466.2   3512.1    0.001    0.106    0.0   0.01     -20.4  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1.6,sizingHoursFactor=3    6447.1   3544.9    0.001    0.107    0.0   0.01     -20.4  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=2.5,sizingHoursFactor=1   13366.3   6195.9    0.001    0.194    0.0   0.02     -12.1  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=2.5,sizingHoursFactor=3   13482.4   6537.1    0.001    0.197    0.0   0.02     -12.1  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=4,sizingHoursFactor=1   16167.2   7373.2    0.001    0.240    0.0   0.04      -4.2  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=4,sizingHoursFactor=3   17606.4   8236.6    0.001    0.250    0.0   0.05      -4.2  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1,sizingHoursFactor=1    2667.8   1471.9    0.001    0.044    0.0   0.00     -28.5  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1,sizingHoursFactor=3    2670.0   1483.0    0.001    0.045    0.0   0.00     -28.5  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1.6,sizingHoursFactor=1    8704.9   4351.0    0.001    0.132    0.0   0.01     -15.2  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1.6,sizingHoursFactor=3    8698.2   4408.1    0.001    0.133    0.0   0.01     -15.2  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=2.5,sizingHoursFactor=1   16062.7   7271.2    0.001    0.228    0.0   0.02      -8.9  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=2.5,sizingHoursFactor=3   16245.2   7697.6    0.001    0.231    0.0   0.02      -8.9  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=4,sizingHoursFactor=1   18873.5   8416.6    0.001    0.275    0.0   0.04      -4.2  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=4,sizingHoursFactor=3   20547.9   9436.0    0.001    0.286    0.0   0.05      -4.2  ACCEPT — fit+select, paired p, expectancy holds

=== FUTURES ===
variant                         ΔR fit   ΔR sel  pairedP   ΔE sel   comp  expry  worstDay  verdict
baseline                           7.8      1.9    0.592    0.001    0.0   0.01     -16.2  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1,sizingHoursFactor=3      -0.4     -1.1    0.998    0.000    0.0   0.01     -16.2  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1.6,sizingHoursFactor=1     265.9    133.4    0.001    0.064    0.0   0.03      -9.6  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1.6,sizingHoursFactor=3     266.5    129.3    0.001    0.063    0.0   0.03      -9.6  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=1     611.7    289.6    0.001    0.138    0.0   0.07      -8.0  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=3     637.7    299.0    0.001    0.140    0.0   0.07      -6.7  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=1     879.2    430.7    0.001    0.217    0.0   0.13      -8.5  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=3     962.8    492.1    0.001    0.227    0.0   0.15      -8.0  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=1      74.9     21.0    0.517    0.010    0.0   0.01     -16.1  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=3      74.2     21.2    0.500    0.011    0.0   0.01     -16.1  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1.6,sizingHoursFactor=1     323.9    185.7    0.001    0.088    0.0   0.03      -8.8  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1.6,sizingHoursFactor=3     327.5    178.7    0.001    0.085    0.0   0.03      -8.8  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=2.5,sizingHoursFactor=1     694.2    346.2    0.001    0.166    0.0   0.07      -6.4  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=2.5,sizingHoursFactor=3     728.3    351.7    0.001    0.164    0.0   0.07      -6.4  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=4,sizingHoursFactor=1     911.4    469.6    0.001    0.237    0.0   0.13      -7.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=4,sizingHoursFactor=3     998.4    526.3    0.001    0.242    0.0   0.15      -7.0  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1,sizingHoursFactor=1     131.4     54.8    0.001    0.026    0.0   0.01     -14.7  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1,sizingHoursFactor=3     130.6     53.9    0.001    0.026    0.0   0.01     -14.7  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1.6,sizingHoursFactor=1     386.6    210.9    0.001    0.100    0.0   0.03      -8.6  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1.6,sizingHoursFactor=3     388.9    208.2    0.001    0.099    0.0   0.03      -8.6  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=2.5,sizingHoursFactor=1     767.9    383.9    0.001    0.184    0.0   0.07      -5.1  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=2.5,sizingHoursFactor=3     803.1    399.7    0.001    0.185    0.0   0.07      -3.7  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=4,sizingHoursFactor=1    1027.7    511.7    0.001    0.260    0.0   0.13      -6.1  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=4,sizingHoursFactor=3    1129.8    581.9    0.001    0.267    0.0   0.15      -5.1  ACCEPT — fit+select, paired p, expectancy holds

=== AGRICULTURE ===
variant                         ΔR fit   ΔR sel  pairedP   ΔE sel   comp  expry  worstDay  verdict
baseline                           0.5     10.1    0.158    0.019    0.0   0.07     -18.1  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1,sizingHoursFactor=3       2.3     -0.8    1.000    0.003    0.0   0.08     -17.7  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1.6,sizingHoursFactor=1       7.8     55.0    0.002    0.148    0.0   0.10     -11.5  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1.6,sizingHoursFactor=3      10.5     53.7    0.002    0.155    0.0   0.11     -11.5  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=1      35.3     69.2    0.002    0.179    0.0   0.13      -8.8  ACCEPT — fit+select, paired p, expectancy holds
