npm notice run levelflow-cloud@0.1.0 npx
npm notice run 'tsx' scripts/grid-totalr.ts sweeps/4c/shard-0.jsonl sweeps/4c/shard-1.jsonl sweeps/4c/shard-2.jsonl sweeps/4c/shard-3.jsonl sweeps/4c/shard-4.jsonl sweeps/4c/shard-5.jsonl sweeps/4c/shard-6.jsonl sweeps/4c/shard-7.jsonl --baseline confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1,sizingHoursFactor=1 --permutations 1000 --seed 7
folds: fit=fit select=select (legacy two-split corpus) · holdout 3 markets excluded
corpus 3c47e2036e1b · engine 2026.08.11.engine-v2 · anchor 2026-08-11

=== CRYPTO ===
variant                         ΔR fit   ΔR sel  pairedP   ΔE sel   comp  expry  worstDay  verdict
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=4,sizingHoursFactor=3     809.0    379.5    0.001    0.369    2.6   0.07      -2.1  ACCEPT — fit+select, paired p, expectancy holds

=== ENERGIES ===
variant                         ΔR fit   ΔR sel  pairedP   ΔE sel   comp  expry  worstDay  verdict
baseline                          44.4     29.9    0.054   -0.003    0.0   0.00      -1.0  THIN (15 filled) — refuse
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1,sizingHoursFactor=3      -0.0      0.0    0.978    0.000    0.0   0.03      -3.1  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1.6,sizingHoursFactor=1       6.8    -11.3    1.000    0.060   -4.5   0.09      -3.6  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1.6,sizingHoursFactor=3       5.9    -11.3    1.000    0.075   -4.5   0.09      -3.6  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=1      33.4     19.5    0.005    0.281   -3.3   0.26      -2.9  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=3      35.0     21.2    0.010    0.309   -3.3   0.25      -2.9  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=1      45.3     41.0    0.001    0.424    0.1   0.43      -2.8  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=3      55.3     42.1    0.001    0.423    0.1   0.42      -2.8  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=1       4.2     -1.4    1.000   -0.015    0.0   0.03      -3.1  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=3       4.2     -1.4    1.000   -0.015    0.0   0.03      -3.1  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1.6,sizingHoursFactor=1      12.1    -11.6    1.000    0.058   -4.5   0.09      -3.6  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1.6,sizingHoursFactor=3      11.6    -11.6    1.000    0.073   -4.5   0.09      -3.6  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=2.5,sizingHoursFactor=1      40.1     19.8    0.009    0.283   -2.7   0.26      -2.9  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=2.5,sizingHoursFactor=3      43.9     22.4    0.011    0.315   -2.7   0.25      -2.9  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=4,sizingHoursFactor=1      49.5     39.9    0.001    0.417    0.5   0.43      -2.8  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=4,sizingHoursFactor=3      61.8     40.9    0.001    0.416    0.6   0.42      -2.8  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1,sizingHoursFactor=1       7.0      2.2    0.645    0.024    0.0   0.03      -3.1  fails
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1,sizingHoursFactor=3       6.6      2.2    0.645    0.024    0.0   0.03      -3.1  fails
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1.6,sizingHoursFactor=1      17.6     -6.6    1.000    0.092   -3.7   0.09      -3.6  fails
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1.6,sizingHoursFactor=3      17.5     -7.0    1.000    0.103   -3.7   0.09      -3.6  fails
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=2.5,sizingHoursFactor=1      45.2     24.3    0.001    0.313   -2.2   0.26      -2.9  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=2.5,sizingHoursFactor=3      50.8     26.2    0.003    0.336   -2.2   0.25      -2.9  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=4,sizingHoursFactor=1      48.9     43.7    0.001    0.442    1.2   0.43      -2.8  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=4,sizingHoursFactor=3      62.4     44.9    0.001    0.437    1.2   0.42      -2.8  ACCEPT — fit+select, paired p, expectancy holds

=== INDICES ===
variant                         ΔR fit   ΔR sel  pairedP   ΔE sel   comp  expry  worstDay  verdict
baseline                           6.9     18.4    0.313    0.010    0.0   0.01      -2.1  THIN (109 filled) — refuse
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1,sizingHoursFactor=3       0.2      0.0    0.942    0.000    0.0   0.01      -2.6  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1.6,sizingHoursFactor=1       7.7     15.0    0.323    0.059   -0.1   0.05      -2.7  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1.6,sizingHoursFactor=3      11.9     14.5    0.274    0.061   -0.1   0.05      -2.7  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=1      16.2     26.8    0.017    0.104   -0.2   0.16      -2.6  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=3      20.2     39.5    0.003    0.161   -0.2   0.15      -3.0  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=1      14.9     28.3    0.012    0.109   -0.1   0.15      -2.5  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=3      20.7     42.1    0.001    0.176   -0.1   0.22      -3.0  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=1       2.2     -1.1    0.968   -0.004    0.0   0.01      -2.6  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=3       2.4     -1.6    0.979   -0.006    0.0   0.01      -2.6  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1.6,sizingHoursFactor=1       6.7     11.5    0.539    0.044   -0.1   0.05      -3.3  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1.6,sizingHoursFactor=3      10.7     10.4    0.516    0.044   -0.1   0.05      -3.3  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=2.5,sizingHoursFactor=1      15.7     26.0    0.033    0.100   -0.2   0.16      -2.6  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=2.5,sizingHoursFactor=3      18.8     40.3    0.003    0.164   -0.2   0.15      -3.5  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=4,sizingHoursFactor=1      14.5     27.3    0.016    0.102   -0.1   0.15      -2.5  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=4,sizingHoursFactor=3      18.6     41.6    0.001    0.174   -0.1   0.22      -3.5  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1,sizingHoursFactor=1       6.0      7.8    0.025    0.032    0.0   0.01      -2.6  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1,sizingHoursFactor=3       6.5      7.8    0.025    0.032    0.0   0.01      -2.6  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1.6,sizingHoursFactor=1      16.7     23.3    0.070    0.094    0.0   0.05      -2.6  fails
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1.6,sizingHoursFactor=3      20.2     23.0    0.046    0.095    0.0   0.05      -2.6  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=2.5,sizingHoursFactor=1      23.3     36.1    0.003    0.154   -0.2   0.16      -2.6  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=2.5,sizingHoursFactor=3      29.5     51.6    0.001    0.209   -0.2   0.15      -2.8  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=4,sizingHoursFactor=1      20.1     36.0    0.003    0.160   -0.1   0.15      -2.5  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=4,sizingHoursFactor=3      28.0     51.3    0.001    0.217   -0.1   0.22      -2.8  ACCEPT — fit+select, paired p, expectancy holds

=== LIVESTOCK ===
variant                         ΔR fit   ΔR sel  pairedP   ΔE sel   comp  expry  worstDay  verdict
baseline                           0.2      0.2    0.981    0.004    0.0   0.05      -2.1  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1,sizingHoursFactor=3      -1.6      4.5    0.674    0.060    0.7   0.04      -2.1  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1.6,sizingHoursFactor=1       2.2     -3.0    0.986   -0.079    0.0   0.05      -2.0  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1.6,sizingHoursFactor=3       3.2     -6.2    1.000   -0.088    0.6   0.06      -8.3  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=1     -11.6      1.6    1.000    0.076    0.0   0.10      -2.0  THIN (20 filled) — refuse
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=3       1.3     -3.1    0.998   -0.052    0.4   0.07      -5.4  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=1     -11.6      0.6    1.000    0.027    0.0   0.11      -2.0  THIN (19 filled) — refuse
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=3      -5.3      2.5    0.969    0.050    0.4   0.08      -2.0  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=1       4.7      5.0    0.639    0.074    0.0   0.04      -2.6  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=3       2.6     11.1    0.419    0.150    1.2   0.04      -2.6  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1.6,sizingHoursFactor=1       5.4     -2.8    0.984   -0.073    0.0   0.05      -2.0  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1.6,sizingHoursFactor=3       8.6     -4.5    0.999   -0.064    0.9   0.06      -8.3  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=2.5,sizingHoursFactor=1      -8.0      0.9    1.000    0.038    0.0   0.10      -2.0  THIN (20 filled) — refuse
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=2.5,sizingHoursFactor=3       5.4     -3.0    0.998   -0.051    0.4   0.07      -5.4  fails
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=4,sizingHoursFactor=1     -10.2     -0.1    1.000   -0.012    0.0   0.11      -2.0  THIN (19 filled) — refuse
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=4,sizingHoursFactor=3      -2.2      3.4    0.957    0.068    0.4   0.08      -2.3  fails
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1,sizingHoursFactor=1       2.2     -0.1    0.985   -0.001    0.0   0.04      -2.1  fails
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1,sizingHoursFactor=3      -0.1      4.2    0.874    0.057    0.8   0.04      -2.1  fails
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1.6,sizingHoursFactor=1       1.9     -5.3    0.998   -0.138    0.0   0.05      -2.0  fails
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1.6,sizingHoursFactor=3       4.9     -7.6    1.000   -0.108    0.7   0.06      -8.3  fails
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=2.5,sizingHoursFactor=1     -10.5      1.7    0.999    0.078    0.0   0.10      -2.0  THIN (20 filled) — refuse
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=2.5,sizingHoursFactor=3       4.9     -7.5    1.000   -0.126    0.4   0.07      -5.4  fails
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=4,sizingHoursFactor=1     -10.9      1.3    1.000    0.062    0.0   0.11      -2.0  THIN (19 filled) — refuse
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=4,sizingHoursFactor=3      -4.0      1.3    0.985    0.026    0.4   0.08      -2.0  fails
